date,time,lati,long,magni
4/25/2015,18:24,27.82,86.05,4.5
4/25/2015,19:21,27.69,86.02,4.9
4/25/2015,20:21,27.6,86.09,4.5
4/26/2015,5:26,27.67,86.07,4.5
4/26/2015,21:47,27.65,85.97,4
4/26/2015,22:42,27.83,86.06,4
4/28/2015,7:45,27.81,86.09,4.2
4/30/2015,13:29,27.65,86.09,4.1
5/1/2015,0:58,27.7,85.98,4.2
5/1/2015,17:37,27.74,85.99,4
5/2/2015,5:55,27.74,86.28,4.3
5/2/2015,21:01,27.66,86.01,4.1
5/4/2015,7:00,27.69,85.99,4.3
5/4/2015,14:34,27.79,86.23,4.7
5/4/2015,18:02,27.74,86,4.2
5/5/2015,16:23,27.74,86.03,4.3
5/8/2015,6:17,27.69,86.04,5
5/12/2015,12:50,27.82,86.12,6.8
5/12/2015,13:02,27.84,86.17,5.8
5/12/2015,13:21,27.73,86.21,6.2
5/12/2015,13:28,27.69,86.24,5
5/12/2015,13:33,27.63,86.17,4.8
5/12/2015,13:46,27.68,86.04,4.3
5/12/2015,14:06,27.66,86.17,5.2
5/12/2015,14:09,27.79,86.11,5
5/12/2015,14:20,27.68,86.23,4.7
5/12/2015,14:24,27.69,86.21,4.7
5/12/2015,14:44,27.76,86.31,5.3
5/12/2015,14:47,27.8,86.12,4.7
5/12/2015,15:14,27.7,86.01,4.2
5/12/2015,15:49,27.68,86.03,4.4
5/12/2015,16:00,27.57,86.29,4.8
5/12/2015,16:16,27.69,86.05,4.2
5/12/2015,16:20,27.73,86.11,5
5/12/2015,16:26,27.76,86.24,4.4
5/12/2015,16:51,27.62,86.16,4.7
5/12/2015,17:06,27.72,86.2,4.6
5/12/2015,17:43,27.71,86,4.3
5/12/2015,18:13,27.7,86.04,4.7
5/12/2015,18:53,27.72,85.97,4
5/12/2015,19:42,27.84,86.23,4.4
5/12/2015,20:44,28.03,86.36,4.1
5/12/2015,21:13,27.97,86.45,4.8
5/12/2015,22:17,27.68,86.04,4.2
5/12/2015,23:13,27.58,86.41,4.3
5/13/2015,4:38,27.82,86.47,4.3
5/13/2015,8:08,27.65,86.18,4.4
5/13/2015,8:28,27.75,86.25,4.4
5/13/2015,10:33,27.79,86.19,4.6
5/13/2015,12:22,27.79,86.07,4.8
5/13/2015,12:34,27.84,86.25,4.6
5/13/2015,12:38,27.68,86.17,5.1
5/13/2015,14:30,27.6,86.16,4.3
5/13/2015,15:37,27.85,86.29,4
5/13/2015,16:44,27.63,86.17,4.5
5/13/2015,21:36,27.7,86.15,4.1
5/14/2015,0:16,27.92,86.31,4.3
5/14/2015,3:13,27.66,86.07,4.1
5/14/2015,3:23,27.67,86.08,5
5/14/2015,9:06,27.83,86.15,4.5
5/14/2015,15:20,27.62,86.09,4.2
5/14/2015,19:43,27.75,86.14,4
5/14/2015,20:50,27.71,86.04,4
5/15/2015,3:38,27.63,86.25,4.1
5/15/2015,4:06,27.69,86.08,4.3
5/15/2015,15:09,27.61,86.2,4.5
5/15/2015,22:58,27.74,86.17,4
5/16/2015,4:28,27.65,86.12,4.1
5/16/2015,4:38,27.66,86.09,4.1
5/16/2015,17:19,27.6,86.26,5.5
5/16/2015,20:44,27.64,86.14,4.3
5/17/2015,5:00,27.73,86.06,4.4
5/17/2015,20:40,27.84,86.24,4.4
5/18/2015,9:11,27.71,86.07,4.2
5/18/2015,11:24,27.69,86.26,4
5/19/2015,4:34,27.66,86.03,4.3
5/20/2015,11:10,27.84,86.33,4.2
5/21/2015,14:11,27.85,86.32,4.2
5/22/2015,17:30,27.63,86.25,4.1
5/22/2015,20:44,27.69,86.16,4.1
5/23/2015,13:14,27.74,86.2,4.2
5/24/2015,7:06,27.67,86.18,4.2
5/24/2015,10:38,27.76,86.28,4.4
5/24/2015,12:55,27.8,86.29,4.4
5/24/2015,23:15,27.76,86.26,4.3
5/25/2015,11:00,27.71,86.07,4.1
5/25/2015,22:16,27.74,86.19,4.4
5/26/2015,14:11,27.84,86.24,4.3
5/26/2015,17:48,27.63,86.3,4.1
5/26/2015,18:39,27.71,86.05,4.1
5/27/2015,12:03,27.59,86.2,4.2
5/28/2015,5:29,27.77,86.25,4.2
5/28/2015,11:36,27.59,86.19,4.2
5/28/2015,12:14,27.59,86.16,4.1
5/29/2015,0:37,27.82,86.34,4.2
6/2/2015,10:48,27.78,86.2,4
6/3/2015,14:39,27.76,86.07,4.2
6/3/2015,17:38,27.7,86.26,4.5
6/4/2015,16:15,27.76,86.2,4
6/6/2015,22:45,27.58,86.18,4
6/7/2015,22:35,27.87,86.13,4.1
6/10/2015,14:51,27.62,86.1,4.2
6/11/2015,0:26,27.67,86.07,4
6/12/2015,10:19,27.67,86.09,4.4
6/13/2015,7:03,27.73,86.16,5.2
6/14/2015,15:01,27.74,86.26,4.1
6/16/2015,21:56,27.7,86.16,4.1
6/22/2015,13:19,27.67,86.17,4
6/25/2015,23:49,27.66,86.21,4.1
6/26/2015,18:02,27.74,86.28,4.2
7/1/2015,9:12,27.71,86.12,4
7/5/2015,10:07,27.67,86.2,4.2
7/6/2015,10:48,27.69,86.2,4.3
7/8/2015,10:19,27.6,86.23,4.1
7/11/2015,2:28,27.8,86.23,4.4
7/13/2015,17:39,27.63,86.09,4.2
7/21/2015,8:09,27.86,86.39,4.3
7/25/2015,0:05,27.61,86.28,4.3
7/25/2015,20:04,27.66,86,4.5
7/26/2015,9:30,27.68,86.22,4.1
7/28/2015,18:38,27.68,86.04,4
7/28/2015,21:23,27.59,86.17,4.1
7/30/2015,20:18,27.66,86.09,4.5
8/5/2015,13:59,27.64,86.07,4.3
8/5/2015,17:38,27.63,86.07,4.1
8/8/2015,21:25,27.69,86.26,4.1
8/14/2015,18:47,27.59,85.97,4.3
8/15/2015,10:10,27.87,86.08,4.1
8/15/2015,23:56,27.71,86.05,4.8
8/18/2015,4:08,27.93,86.14,4.8
8/23/2015,14:47,27.87,86.17,5.1
8/25/2015,15:08,27.68,86.22,4
8/30/2015,8:26,27.66,86.23,4.1
9/2/2015,4:51,27.64,86.19,4.4
9/9/2015,18:23,27.82,86.24,4
9/16/2015,20:37,27.6,86.19,4.2
9/20/2015,4:05,27.76,86.37,4
10/5/2015,13:18,27.71,86.15,4.8
10/5/2015,13:21,27.71,86.1,4.2
10/6/2015,17:47,27.69,86.09,4.2
10/7/2015,5:15,27.68,86.08,4.2
10/16/2015,14:28,27.71,86.16,4.2
10/17/2015,23:46,27.8,86.3,4.2
12/7/2015,7:27,27.86,86.19,4
12/23/2015,8:59,27.79,86.08,4.1
